task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,anneal_ent,episodic_reward.mean,episodic_reward.count,reward.mean,charts/SPS
NotHotdog,{},256,0.01,64,2,0.99,0.003,256,True,0.512939453125,4096,0.512939453125,2836
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,1024,False,0.5936620235443115,71,0.009643555618822576,4681
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,1024,False,0.43348628282547,109,0.009936523623764517,4805
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,1024,False,0.8670001029968262,50,0.009521484375,4712
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,512,False,0.1762886643409729,194,0.008496093563735485,3307
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,512,False,0.5689394474029541,66,0.00983886793255806,3263
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,512,False,0.7375000715255737,60,0.01015624962747097,3284
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,512,False,0.7830358147621155,56,0.01109619252383709,3216
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,256,False,0.31980523467063904,154,0.01149902492761612,2111
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,256,False,0.5611112117767334,72,0.00994873046875,1996
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,256,False,0.8035715222358704,42,0.010009765625,1996
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,256,False,0.01953125,320,0.0015136717120185494,2072
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,1024,True,0.17565445601940155,191,0.00739746168255806,4713
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,1024,True,0.6006667613983154,75,0.009350587613880634,4506
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,1024,True,0.38423916697502136,92,0.01047363318502903,4764
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,1024,True,0.8280702829360962,57,0.009790039621293545,4539
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,512,True,0.15940959751605988,271,0.010607912205159664,3330
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,512,True,0.6137682199478149,69,0.00954589806497097,3335
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,512,True,0.7785715460777283,49,0.009680175222456455,3287
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,512,True,0.8386364579200745,44,0.00927734375,3220
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,256,True,0.26034483313560486,174,0.011364745907485483,2138
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,256,True,0.6335715055465698,70,0.00965576246380806,2047
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,256,True,0.7897059917449951,68,0.00966796837747097,2099
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,1024,False,0.8862746357917786,51,0.010498046875,4895
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,256,True,0.20231789350509644,151,0.007836914621293545,2087
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,1024,False,0.980000138282776,40,0.012988281436264517,4882
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,1024,False,0.9854546785354614,55,0.013110351748764517,4934
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,1024,False,0.0765957459807396,47,0.0006103515042923391,5186
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,512,False,0.833333432674408,60,0.011352539993822576,3383
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,512,False,0.9836364984512328,55,0.013208008371293545,3419
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,512,False,0.9882354140281676,51,0.01325683668255806,3358
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,512,False,0.005379310343414545,725,0.0009277343633584678,3357
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,256,False,0.9540984630584716,61,0.014257813803851604,2168
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,256,False,0.9877194166183472,57,0.01345214806497097,2134
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,256,False,0.9380282759666444,71,0.01352539099752903,2169
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,256,False,0,9,0,2307
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,1024,True,0.8780488967895508,41,0.010668945498764517,4990
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,1024,True,0.9789474606513976,57,0.013403321616351604,5125
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,1024,True,0.982142984867096,56,0.01435546949505806,4817
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,1024,True,0.042320821434259415,586,0.00632324256002903,5090
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,512,True,0.7741380333900452,58,0.01179199293255806,3388
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,512,True,0.9781819581985474,55,0.014160157181322576,3176
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,512,True,1.0000001192092896,55,0.01376953162252903,3215
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,512,True,0.004199475049972534,762,0.0007812500116415322,3553
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.0003,64,2,0.99,0.003,256,True,0.942372977733612,59,0.01259765587747097,2145
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.001,64,2,0.99,0.003,256,True,0.9950001239776612,60,0.013696289621293545,2127
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.003,64,2,0.99,0.003,256,True,0.9616667628288268,60,0.01364746131002903,2056
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",256,0.01,64,2,0.99,0.003,256,True,0.0058823530562222,17,2.441406286379788e-05,2264
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,1024,False,1,256,0.03125,9290
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,1024,False,1,256,0.03125,9376
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,1024,False,1,256,0.03125,9113
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,1024,False,1,256,0.03125,9275
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,512,False,1,256,0.03125,5832
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,512,False,1,256,0.03125,6082
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,512,False,1,256,0.03125,5956
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,512,False,0,256,0,6112
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,256,False,1,256,0.03125,3650
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,256,False,1,256,0.03125,3447
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,256,False,1,256,0.03125,3523
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,256,False,0,256,0,3555
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,1024,True,1,256,0.03125,9662
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,1024,True,1,256,0.03125,9340
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,1024,True,1,256,0.03125,9750
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,1024,True,1,256,0.03125,9240
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,512,True,1,256,0.03125,6094
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,512,True,1,256,0.03125,6009
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,512,True,1,256,0.03125,6157
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,512,True,0,256,0,6024
MultiArmedBandit,{},256,0.0003,64,2,0.99,0.003,256,True,1,256,0.03125,3453
MultiArmedBandit,{},256,0.001,64,2,0.99,0.003,256,True,1,256,0.03125,3525
MultiArmedBandit,{},256,0.003,64,2,0.99,0.003,256,True,1,256,0.03125,3582
MultiArmedBandit,{},256,0.01,64,2,0.99,0.003,256,True,0,256,0,3539
MoveToOrigin,{},256,0.0003,64,2,0.99,0.003,1024,False,0.9881951212882996,256,0.005380185786634684,7328
MoveToOrigin,{},256,0.001,64,2,0.99,0.003,1024,False,0.9787493944168092,256,0.004414327908307314,7232
MoveToOrigin,{},256,0.003,64,2,0.99,0.003,1024,False,0.9845775365829468,256,0.0022994952742010355,7376
MoveToOrigin,{},256,0.01,64,2,0.99,0.003,1024,False,0.9835936427116394,256,0.004079477395862341,7513
MoveToOrigin,{},256,0.001,64,2,0.99,0.003,512,False,0.9868528842926024,256,0.002689719432964921,4966
MoveToOrigin,{},256,0.0003,64,2,0.99,0.003,512,False,0.986112654209137,256,0.004653004463762045,5166
MoveToOrigin,{},256,0.003,64,2,0.99,0.003,512,False,0.978581428527832,256,0.0015063472092151642,5150
MoveToOrigin,{},256,0.01,64,2,0.99,0.003,512,False,0.9898465871810912,256,0.005858283024281263,4802
MoveToOrigin,{},256,0.0003,64,2,0.99,0.003,256,False,0.9869236946105956,256,0.003697912208735943,3038
MoveToOrigin,{},256,0.001,64,2,0.99,0.003,256,False,0.9928053021430968,256,0.0018847733736038208,3015
