task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.1,512,1.9166666269302368,24,0.01708984375
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.1,2048,1.4500000476837158,20,0.01611328125
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.1,512,1.6176470518112185,34,0.013671875
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.1,2048,1.121212124824524,33,0.01171875
RockPaperScissors,{},128,3e-05,128,2,0.99,0.1,2048,1.0888671875,2048,1.0888671875
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.1,512,1.2857142686843872,28,0.01318359375
RockPaperScissors,{},128,3e-05,128,2,0.99,0.1,512,1.0888671875,2048,1.0888671875
RockPaperScissors,{},128,3e-05,32,2,0.99,0.1,2048,1,2048,1
RockPaperScissors,{},128,3e-05,32,2,0.99,0.1,512,1.013671875,2048,1.013671875
RockPaperScissors,{},128,3e-05,8,2,0.99,0.1,2048,0.693359375,2048,0.693359375
RockPaperScissors,{},128,3e-05,8,2,0.99,0.1,512,1.0126953125,2048,1.0126953125
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.1,2048,5,6,0.00732421875
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.1,512,3.142857074737549,7,0.00537109375
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.1,2048,0.75,4,0.00830078125
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.1,512,2,5,0.0087890625
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.1,2048,2,5,0.0068359375
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.1,512,2.5999999046325684,5,0.00634765625
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.1,2048,0.6279599070549011,500,0.15331050753593445
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.1,512,0.7875905632972717,407,0.15651825070381165
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.1,2048,0.6102228164672852,512,0.15255571901798248
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.1,512,0.6270949840545654,495,0.15156836807727814
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.1,2048,0.3176678717136383,907,0.14068591594696045
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.1,512,0.6237123012542725,511,0.15562354028224945
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.1,512,0.10000000149011612,137,0.0064941407181322575
NotHotdog,{},128,3e-05,128,2,0.99,0.1,2048,1,2048,1
NotHotdog,{},128,3e-05,128,2,0.99,0.1,512,1,2048,1
NotHotdog,{},128,3e-05,32,2,0.99,0.1,2048,0.99560546875,2048,0.99560546875
NotHotdog,{},128,3e-05,32,2,0.99,0.1,512,1,2048,1
